id,original_title,genres_id,vote_average
118,Charlie and the Chocolate Factory,"12, 35, 10751, 14",7.042
955916,Lift,"28, 35, 80",6.5
1075456,O'Dessa,"10402, 18, 878",6.3
57158,The Hobbit: The Desolation of Smaug,"14, 12, 28",7.57
974950,Emilia Pérez,"18, 53",6.715
974262,Descendants: The Rise of Red,"14, 12, 10751, 35",6.9
11688,The Emperor's New Groove,"12, 16, 35, 10751, 14",7.558
917496,Beetlejuice Beetlejuice,"27, 35, 14",7.043
11224,Cinderella,"10751, 14, 16, 10749",7.043
1299652,Watchmen: Chapter II,"16, 9648, 878, 28, 18",7.5
923667,九龍城寨之圍城,"28, 80, 53",6.9
979,Irréversible,"18, 53, 80",7.218
967160,Claudia,18,0.0
360776,くノ一忍法帖III 秘戯伝説の怪,28,7.5
168259,Furious 7,"28, 53, 80",7.225
1354627,SpongeBob Squarepants: Kreepaway Kamp,"10770, 10751, 35, 27, 16",7.1
383634,肉体の門,18,6.1
24,Kill Bill: Vol. 1,"28, 80",7.969
898859,Mañana Antes Después,"18, 878",7.3
40108,Η Μαύρη Εμμανουέλα,"80, 18, 53",6.3
137113,Edge of Tomorrow,"28, 878",7.629
38365,Grown Ups,35,6.4
324552,John Wick: Chapter 2,"28, 53, 80",7.332
1244944,The Woman in the Yard,"27, 9648",4.7
186622,Ainsi soient-elles,"18, 35",4.3
812,Aladdin,"16, 10751, 12, 14, 10749",7.651
1269108,Santet Segoro Pitu,"27, 53",6.0
564140,Kalte Füße,35,6.6
1023915,2073,"53, 99, 878",7.074
1276945,Ferry 2,"28, 18, 80, 53",5.7
694,The Shining,"27, 53",8.212
1078600,Marked Men: Rule + Shaw,"10749, 18",6.59
9453,Caligola,"18, 36",6.0
296096,Me Before You,"18, 10749",7.928
1203329,The Witcher: Sirens of the Deep,"16, 14, 28",7.0
337404,Cruella,"35, 80, 12",8.0
6977,No Country for Old Men,"80, 18, 53",7.944
947891,My Old Ass,"35, 18, 10749",6.9
968051,The Nun II,27,6.7
57158,The Hobbit: The Desolation of Smaug,"14, 12, 28",7.57
1165464,Tú no eres yo,"18, 27, 53",6.9
1262596,Sweet Release,18,3.9
546554,Knives Out,"35, 80, 9648",7.845
102382,The Amazing Spider-Man 2,"28, 12, 878",6.515
38,Eternal Sunshine of the Spotless Mind,"878, 18, 10749",8.091
61979,Tres metros sobre el cielo,"10749, 18",7.723
61108,Emmanuelle 6,"18, 10749",4.0
898859,Mañana Antes Después,"18, 878",7.3
1104844,劇場版ブルーロック -EPISODE 凪-,"16, 28, 18",7.4
296096,Me Before You,"18, 10749",7.928
1244944,The Woman in the Yard,"27, 9648",4.7
960139,La Maison,"18, 35, 14",6.063
1063877,Don't Move,"27, 53",6.352
281957,The Revenant,"37, 18, 12",7.533
37799,The Social Network,18,7.368
923667,九龍城寨之圍城,"28, 80, 53",6.9
360776,くノ一忍法帖III 秘戯伝説の怪,28,7.5
62,2001: A Space Odyssey,"878, 9648, 12",8.065
1094870,Playboy Video Playmate Calendar 2000,99,1.0
508947,Turning Red,"16, 10751, 35, 14",7.4
889737,Joker: Folie à Deux,"18, 80, 53",5.468
508943,Luca,"16, 35, 14, 12, 10751",7.807
9453,Caligola,"18, 36",6.0
1318917,Rüzgara Bırak,10749,5.6
967160,Claudia,18,0.0
979,Irréversible,"18, 53, 80",7.218
1001311,Sous la Seine,"28, 27",6.0
1023915,2073,"53, 99, 878",7.074
338953,Fantastic Beasts: The Secrets of Dumbledore,"14, 12",6.647
507089,Five Nights at Freddy's,"27, 53",7.484
601796,외계+인 1부,"878, 28, 14, 12",6.8
968051,The Nun II,27,6.7
114,Pretty Woman,"10749, 35",7.464
969492,Land of Bad,"28, 10752, 53",7.3
109418,Grown Ups 2,35,6.135
1233413,Sinners,"27, 53, 28",0.0
272,Batman Begins,"28, 80, 18",7.712
10195,Thor,"12, 14, 28",6.768
1029281,Strange Darling,"80, 27, 53",6.933
1079091,It Ends with Us,"18, 10749",7.05
